,Latitude,Longitude,School Name,School Address,School Rating
0,30.197589,-97.828106,Cowan Elementary School,"2817 Kentish Drive, Austin, TX  78748",9
1,30.418454,-97.69619,Parmer Lane Elementary School,"1806 Parmer Lane, Austin, TX  78727",7
2,30.341187,-97.984049,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8
3,30.460441,-97.761118,Live Oak Elementary School,"8607 Anderson Mill Road, Austin, TX  78729",6
4,30.374096,-97.775259,Doss Elementary School,"7005 Northledge Drive, Austin, TX  78731",9
5,30.082419,-97.664366,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3
6,30.360267,-97.998646,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8
7,30.41662,-97.874616,Grandview Hills Elementary School,"12024 Vista Parke Drive, Austin, TX  78726",6
8,30.340507,-97.734626,Brentwood Elementary School,"6700 Arroyo Seco, Austin, TX  78757",7
9,30.22287,-97.566622,Oak Meadows Elementary School,"5600 Decker Creek Cove, Manor, TX  78653",2
10,30.282597,-97.759718,Mathews Elementary School,"906 West Lynn Street, Austin, TX  78703",8
11,30.25157,-97.7444,Texas School For The Deaf,"1102 South Congress Avenue, Austin, TX  78704",1
12,30.520886,-97.790929,Ronald Reagan Elementary School,"1700 East Park Street, Cedar Park, TX  78613",8
13,30.167892,-97.827473,Kocurek Elementary School,"9800 Curlew Drive, Austin, TX  78748",4
14,30.201895,-97.936138,Baldwin Elementary School,"12200 Meridian Park Boulevard, Austin, TX  78739",8
15,30.150896,-97.857849,Baranoff Elementary School,"12009 Buckingham Gate Road, Austin, TX  78748",9
16,30.242114,-97.77598,Zilker Elementary School,"1900 Bluebonnet Lane, Austin, TX  78704",7
17,30.442393,-97.936912,Lago Vista Intermediate School,"8039 Bar K Ranch Rd, Lago Vista, TX 78645",
18,30.248605,-97.550027,Oak Meadows Elementary School,"5600 Decker Creek Cove, Manor, TX  78653",2
19,30.482014,-97.592149,Murchison Elementary School,"2215 Kelly Lane, Pflugerville, TX  78660",8
20,30.363136,-97.908427,Laura Welch Bush Elementary School,"12600 Country Trails Lane, Austin, TX  78732",10
21,30.526467,-97.642224,Double File Trail Elementary School,"2400 Chandler Creek Boulevard, Round Rock, TX  78665",5
22,30.280848,-97.755754,Mathews Elementary School,"906 West Lynn Street, Austin, TX  78703",8
23,30.428063,-97.800195,Spicewood Elementary School,"11601 Olson Drive, Austin, TX  78750",10
24,30.416679,-97.757561,Kathy Caraway Elementary School,"11104 Oak View Drive, Austin, TX  78759",8
25,30.122635,-97.732805,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3
26,30.379243,-97.508738,Presidential Meadows Elementary School,"13252 George Bush Street, Manor, TX  78653",2
27,30.304669,-97.804143,Eanes Elementary School,"4101 Bee Cave Road, West Lake Hills, TX  78746",10
28,30.272878,-97.465506,Blake Manor Elementary School,"18010 Blake Manor Road, Manor, TX  78653",4
29,30.325966,-97.994969,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8
30,30.433343,-97.805793,Spicewood Elementary School,"11601 Olson Drive, Austin, TX  78750",10
31,30.196212,-97.749343,Rodriguez Elementary School,"4400 Franklin Park Drive, Austin, TX  78744",2
32,30.230108,-97.873572,Oak Hill Elementary School,"6101 Patton Ranch Road, Austin, TX  78735",6
33,30.231526,-97.902662,Mills Elementary School,"6201 Davis Lane, Austin, TX  78749",9
34,30.14137,-97.605647,Del Valle Elementary School,"5400 Ross Road, Travis County, TX  78617",3
35,30.487015,-97.762408,Elsa England Elementary School,"8801 Pearson Ranch Road, Austin, TX  78717",10
36,30.424702,-97.761513,Kathy Caraway Elementary School,"11104 Oak View Drive, Austin, TX  78759",8
37,30.242031,-98.013379,Dripping Springs Elementary School,"29400 Ranch Rd 12, Dripping Springs, TX 78620",7
38,30.043481,-97.731288,Camino Real Elementary School,"170 Las Brisas Boulevard, Niederwald, TX  78640",3
39,30.358221,-97.544131,Shadowglen Elementary School,"12000 Shadowglen Trace, Manor, TX 78653",5
40,30.353855,-97.901546,Laura Welch Bush Elementary School,"12600 Country Trails Lane, Austin, TX  78732",10
41,30.100517,-97.633985,Popham Elementary School,"7014 Elroy Road, Austin, TX  78617",3
42,30.228595,-97.944544,Clayton Elementary School,"7525 La Crosse Avenue, Austin, TX  78739",10
43,30.491376,-97.579979,Dearing Elementary School,"4301 Gattis School Rd, Pflugerville, TX 78660",5
44,30.434561,-97.797364,Spicewood Elementary School,"11601 Olson Drive, Austin, TX  78750",10
45,30.317802,-97.785319,Casis Elementary School,"2710 Exposition Boulevard, Austin, TX  78703",10
46,30.307005,-97.662965,Winn Elementary School,"3500 Susquehanna Lane, Austin, TX  78723",3
47,30.296454,-97.917115,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX  78733",10
48,30.151836,-97.737882,Palm Elementary School,"7601 Dixie Drive, Austin, TX  78744",6
49,30.281868,-97.680627,Sims Elementary School,"1203 Springdale Road, Austin, TX  78721",3
50,30.356611,-97.826757,Bridge Point El,"6401 Cedar Street, Austin, TX  78746",10
51,30.155409,-97.851394,Baranoff Elementary School,"12009 Buckingham Gate Road, Austin, TX  78748",9
52,30.321213,-97.678712,Andrews Elementary School,"6801 Northeast Drive, Austin, TX  78723",4
53,30.116677,-97.886274,Carpenter Hill Elementary School,"4410 RR 967, Buda, TX  78610",7
54,30.079142,-97.839185,Buda Elementary School,"300 N San Marcos St, Buda, TX 78610",6
55,30.222492,-97.93371,Clayton Elementary School,"7525 La Crosse Avenue, Austin, TX  78739",10
56,30.375562,-97.902388,Laura Welch Bush Elementary School,"12600 Country Trails Lane, Austin, TX  78732",10
57,30.47211,-97.855542,Deer Creek Elementary School,"2420 Zeppelin Drive, Cedar Park, TX  78613",9
58,30.380431,-97.522848,Shadowglen Elementary School,"12000 Shadowglen Trace, Manor, TX 78653",5
59,30.484543,-97.795501,Rutledge Elementary School,"11501 Staked Plains Drive, Austin, TX  78717",9
60,30.154372,-97.82707,Menchaca Elementary School,"12120 Manchaca Rd, Austin, TX 78748",5
61,30.388275,-97.503637,Shadowglen Elementary School,"12000 Shadowglen Trace, Manor, TX 78653",5
62,30.415177,-97.722098,Summitt Elementary School,"12207 Brigadoon Lane, Austin, TX  78727",8
63,30.314017,-97.896431,Barton Creek Elementary School,"1370 Patterson Road, Austin, TX  78733",10
64,30.407528,-97.536172,Shadowglen Elementary School,"12000 Shadowglen Trace, Manor, TX 78653",5
65,30.203132,-97.85215,Boone Elementary School,"8101 Croftwood Drive, Austin, TX  78749",8
66,30.105269,-97.679548,Creedmoor Elementary School,"5604 Farm to Market Road 1327, Austin, TX  78747",3
67,30.460506,-97.64203,Windermere Elementary School,"1101 Picadilly Drive, Pflugerville, TX  78660",7
68,30.330992,-97.97825,Bee Cave Elementary School,"3322 Ranch Road 620 South, Austin, TX  78738",8
