,Latitude,Longitude,School Name,School Address,School Rating
0,30.197589,-97.828106,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
1,30.418454,-97.69619,John B Connally High School,"13212 North Lamar Boulevard, Austin, TX  78753",4
2,30.341187,-97.984049,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
3,30.460441,-97.761118,Mcneil High School,"5720 McNeil Drive, Austin, TX  78729",7
4,30.374096,-97.775259,Anderson High School,"8403 Mesa Drive, Austin, TX  78759",8
5,30.082419,-97.664366,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4
6,30.360267,-97.998646,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
7,30.41662,-97.874616,Vandegrift High School,"9500 McNeil Drive, Austin, TX  78750",8
8,30.340507,-97.734626,Mccallum High School,"5600 Sunshine Drive, Austin, TX  78756",7
9,30.22287,-97.566622,Del Valle High School,"5201 Ross Road, Travis County, TX  78617",3
10,30.282597,-97.759718,Austin St Hospital,(512) 419-2560,
11,30.25157,-97.7444,Texas School For The Deaf,"1102 South Congress Avenue, Austin, TX  78704",1
12,30.520886,-97.790929,Vista Ridge High School,"200 South Vista Ridge Boulevard, Cedar Park, TX  78613",8
13,30.167892,-97.827473,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
14,30.201895,-97.936138,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
15,30.150896,-97.857849,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
16,30.242114,-97.77598,Richards School For Young Women Leade,"2206 Prather Lane, Austin, TX  78704",9
17,30.442393,-97.936912,Lago Vista High School,"5185 Lohman Ford Rd, Lago Vista, TX 78645",6
18,30.248605,-97.550027,Travis County State Jail,www.wsdtx.org,
19,30.482014,-97.592149,Hendrickson High School,"19201 Colorado Sand Drive, Pflugerville, TX  78660",7
20,30.363136,-97.908427,Lago Vista High School,"5185 Lohman Ford Rd, Lago Vista, TX 78645",6
21,30.526467,-97.642224,Stony Point High School,"1801 Tiger Trail, Round Rock, TX  78664",6
22,30.280848,-97.755754,Austin St Hospital,(512) 419-2560,
23,30.428063,-97.800195,Westwood High School,"12400 Mellow Meadow Drive, Austin, TX  78750",9
24,30.416679,-97.757561,Mcneil High School,"5720 McNeil Drive, Austin, TX  78729",7
25,30.122635,-97.732805,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
26,30.379243,-97.508738,Manor Excel Academy,"600 E Parsons St, Manor, TX 78653",3
27,30.304669,-97.804143,Westlake Alternative School,,
28,30.272878,-97.465506,Manor Excel Academy,"600 E Parsons St, Manor, TX 78653",3
29,30.325966,-97.994969,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
30,30.433343,-97.805793,Westwood High School,"12400 Mellow Meadow Drive, Austin, TX  78750",9
31,30.196212,-97.749343,Travis High School,"1211 East Oltorf Street, Austin, TX  78704",3
32,30.230108,-97.873572,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
33,30.231526,-97.902662,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
34,30.14137,-97.605647,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4
35,30.487015,-97.762408,Vista Ridge High School,"200 South Vista Ridge Boulevard, Cedar Park, TX  78613",8
36,30.424702,-97.761513,Mcneil High School,"5720 McNeil Drive, Austin, TX  78729",7
37,30.242031,-98.013379,Dripping Springs High School,"940 W Hwy 290, Dripping Springs, TX 78620",7
38,30.043481,-97.731288,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4
39,30.358221,-97.544131,Manor High School,"12700 Gregg Manor Road, Manor, TX  78653",2
40,30.353855,-97.901546,Lago Vista High School,"5185 Lohman Ford Rd, Lago Vista, TX 78645",6
41,30.100517,-97.633985,Del Valle Opportunity Center,"5301 Ross Rd, Del Valle, TX 78617",4
42,30.228595,-97.944544,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
