,Latitude,Longitude,School Name,School Address,School Rating
0,30.197589,-97.828106,Covington Middle School,"3700 Convict Hill Road, Austin, TX  78749",5
1,30.418454,-97.69619,Westview Middle School,"1805 Scofield Lane, Austin, TX  78727",4
2,30.341187,-97.984049,Hudson Bend Middle School,"3322 Ranch Road 620 South, Austin, TX  78738",9
3,30.460441,-97.761118,Deerpark Middle School,"8849 Anderson Mill Road, Austin, TX  78729",6
4,30.374096,-97.775259,Murchison Middle School,"3700 North Hills Drive, Austin, TX  78731",7
5,30.082419,-97.664366,Del Valle Middle School,"5500 Ross Road, Travis County, TX  78617",4
6,30.360267,-97.998646,Lake Travis Middle School,"4932 Bee Creek Road, Spicewood, TX  78669",9
7,30.41662,-97.874616,Four Points Middle School,"9700 McNeil Drive, Austin, TX  78750",9
8,30.340507,-97.734626,Lamar Middle School,"6201 Wynona Avenue, Austin, TX  78757",7
9,30.22287,-97.566622,Decker Middle School,"8104 Decker Creek Cove, Manor, TX  78653",4
10,30.282597,-97.759718,Austin St Hospital,(512) 419-2560,
11,30.25157,-97.7444,Texas School For The Deaf,"1102 South Congress Avenue, Austin, TX  78704",1
12,30.520886,-97.790929,Artie L Henry Middle School,"100 North Vista Ridge Boulevard, Cedar Park, TX  78613",8
13,30.167892,-97.827473,Paredes Middle School,"10100 South Mary Moore Searight Drive, Austin, TX  78748",4
14,30.201895,-97.936138,Gorzycki Middle School,"7412 West Slaughter Lane, Austin, TX  78749",9
15,30.150896,-97.857849,Bailey Middle School,"4020 Lost Oasis Hollow, Austin, TX  78739",6
16,30.242114,-97.77598,Richards School For Young Women Leade,"2206 Prather Lane, Austin, TX  78704",9
17,30.442393,-97.936912,Lago Vista Middle School,"8039 Bar K Ranch Rd, Lago Vista, TX 78645",5
18,30.248605,-97.550027,Decker Middle School,"8104 Decker Creek Cove, Manor, TX  78653",4
19,30.482014,-97.592149,Kelly Lane Middle School,"18900 Falcon Pointe Boulevard, Pflugerville, TX  78660",7
