,Latitude,Longitude,School Name,School Address,School Rating
0,30.233549,-97.715617,Travis High School,"1211 East Oltorf Street, Austin, TX  78704",3
1,30.218547,-97.979561,Dripping Springs High School,"P O Box 479, Dripping Springs, TX  78620",7
2,30.451276,-97.577407,Hendrickson High School,"19201 Colorado Sand Drive, Pflugerville, TX  78660",7
3,30.474545,-97.61157,Hendrickson High School,"19201 Colorado Sand Drive, Pflugerville, TX  78660",7
4,30.370103,-97.768805,Anderson High School,"8403 Mesa Drive, Austin, TX  78759",8
5,30.082832,-97.758492,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
6,30.343586,-97.46626,Elgin High School,"14000 County Line Road, Elgin, TX  78621",4
7,30.243042,-97.75986,Phoenix Academy,(512) 440-0235,
8,30.51116,-97.746036,Vista Ridge High School,"200 South Vista Ridge Boulevard, Cedar Park, TX  78613",8
9,30.386273,-97.956557,Lago Vista High School,"P O Box 4929, Austin, TX  78734",6
10,30.372958,-97.893412,Lago Vista High School,"P O Box 4929, Austin, TX  78734",6
11,30.285798,-97.719602,Garza Independence High School,(512) 414-8600,5
12,30.234234,-97.995584,Dripping Springs High School,"P O Box 479, Dripping Springs, TX  78620",7
13,30.502913,-97.758255,Vista Ridge High School,"200 South Vista Ridge Boulevard, Cedar Park, TX  78613",8
14,30.310951,-97.673809,Lbj High School,"7309 Lazy Creek Drive, Austin, TX  78724",2
15,30.456739,-97.607617,Hendrickson High School,"19201 Colorado Sand Drive, Pflugerville, TX  78660",7
16,30.183599,-97.520193,Cedar Creek High School,"793 Union Chapel Road, Cedar Creek, TX  78612",4
17,30.391298,-97.976057,Lago Vista High School,"P O Box 4929, Austin, TX  78734",6
18,30.312479,-97.897634,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
19,30.379087,-97.798554,Vandegrift High School,"9500 McNeil Drive, Austin, TX  78750",8
20,30.132742,-97.825312,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
21,30.115293,-97.720599,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
22,30.367121,-97.901636,Lago Vista High School,"P O Box 4929, Austin, TX  78734",6
23,30.339846,-97.745082,Mccallum High School,"5600 Sunshine Drive, Austin, TX  78756",7
24,30.244225,-97.474381,Cedar Creek High School,"793 Union Chapel Road, Cedar Creek, TX  78612",4
25,30.076048,-97.646197,Del Valle Opportunity Center,(512) 386-3300,4
26,30.551989,-97.670814,Round Rock Opport Center Daep,(512) 428-2943,
27,30.488738,-97.817089,Cedar Park High School,"2150 Cypress Creek Road, Cedar Park, TX  78613",8
28,30.444814,-97.614044,Pflugerville High School,"1301 West Pecan Street, Pflugerville, TX  78660",6
29,30.179114,-97.488555,Cedar Creek High School,"793 Union Chapel Road, Cedar Creek, TX  78612",4
30,30.182127,-97.795576,Crockett High School,"5601 Manchaca Road, Austin, TX  78745",4
31,30.384714,-97.661753,John B Connally High School,"13212 North Lamar Boulevard, Austin, TX  78753",4
32,30.27689,-97.624089,Travis County State Jail,www.wsdtx.org,
33,30.21262,-97.763062,Leadership Academy,(512) 476-2809,
34,30.500035,-97.729384,Round Rock High School,"201 Deep Wood Drive, Round Rock, TX  78681",8
35,30.296213,-97.884856,Westlake Alternative School,,
36,30.195881,-97.936582,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
37,30.217822,-97.802384,Crockett High School,"5601 Manchaca Road, Austin, TX  78745",4
38,30.381065,-97.681049,Lanier High School,"1201 Payton Gin Road, Austin, TX  78758",3
39,30.238257,-97.928753,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
40,30.226672,-97.742097,Travis High School,"1211 East Oltorf Street, Austin, TX  78704",3
41,30.287765,-97.520061,Manor Excel Academy,(512) 278-4851,3
42,30.389455,-97.931647,Lago Vista High School,"P O Box 4929, Austin, TX  78734",6
43,30.182685,-97.9457,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
44,30.341764,-97.919784,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
45,30.185734,-97.748938,Travis High School,"1211 East Oltorf Street, Austin, TX  78704",3
46,30.142753,-97.577453,Del Valle Opportunity Center,(512) 386-3300,4
47,30.341946,-97.873901,Vandegrift High School,"9500 McNeil Drive, Austin, TX  78750",8
48,30.498715,-97.599607,Hendrickson High School,"19201 Colorado Sand Drive, Pflugerville, TX  78660",7
49,30.448743,-97.568998,Weiss High S,,
50,30.303466,-97.83611,Westlake Alternative School,,
51,30.268072,-97.732834,University of Texas at Austin High School,(512) 232-5000,4
52,30.186156,-97.893564,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
53,30.214591,-97.879841,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
54,30.298189,-97.737643,Texas School For The Blind,"1100 West 45th Street, Austin, TX  78756",1
55,30.022492,-97.806442,Lehman High School,"1700 Lehman Road, Kyle, TX  78640",4
56,30.288823,-97.458152,Elgin High School,"14000 County Line Road, Elgin, TX  78621",4
57,30.522801,-97.761631,Vista Ridge High School,"200 South Vista Ridge Boulevard, Cedar Park, TX  78613",8
58,30.424838,-97.779784,Westwood High School,"12400 Mellow Meadow Drive, Austin, TX  78750",9
59,30.33654,-97.955605,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
60,30.265251,-97.792193,Adult Transition Services,(512) 732-9029,
61,30.510952,-97.846186,Leander High School,"3301 South Bagdad Road, Leander, TX  78641",7
62,30.386787,-97.669433,John B Connally High School,"13212 North Lamar Boulevard, Austin, TX  78753",4
63,30.196235,-97.916624,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
64,30.343789,-97.819993,Vandegrift High School,"9500 McNeil Drive, Austin, TX  78750",8
65,30.450368,-97.913252,Cedar Park High School,"2150 Cypress Creek Road, Cedar Park, TX  78613",8
66,30.354601,-97.768745,Anderson High School,"8403 Mesa Drive, Austin, TX  78759",8
67,30.179357,-97.587307,Del Valle High School,"5201 Ross Road, Travis County, TX  78617",3
68,30.154606,-97.8027,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
69,30.331341,-97.741014,Mccallum High School,"5600 Sunshine Drive, Austin, TX  78756",7
70,30.42622,-97.733573,Mcneil High School,"5720 McNeil Drive, Austin, TX  78729",7
71,30.395754,-97.646837,John B Connally High School,"13212 North Lamar Boulevard, Austin, TX  78753",4
72,30.250665,-97.843459,Westlake High School,"4100 Westbank Drive, Austin, TX  78746",9
73,30.118784,-97.863317,Alter Impact Center,www.hayscisd.net,
74,30.282402,-97.945958,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
75,30.184403,-97.785155,Crockett High School,"5601 Manchaca Road, Austin, TX  78745",4
76,30.231678,-97.857658,Bowie High School,"4103 West Slaughter Lane, Austin, TX  78749",9
77,30.147446,-97.823036,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
78,30.438567,-97.796297,Westwood High School,"12400 Mellow Meadow Drive, Austin, TX  78750",9
79,30.303791,-97.718062,Dell Children's Medical Center,,
80,30.215035,-97.813035,Crockett High School,"5601 Manchaca Road, Austin, TX  78745",4
81,30.353934,-97.73959,Anderson High School,"8403 Mesa Drive, Austin, TX  78759",8
82,30.323143,-97.753678,Rosedale,(512) 414-3617,5
83,30.345855,-97.979792,Lake Travis High School,"3324 Ranch Road 620 South, Austin, TX  78738",8
84,30.431536,-97.662422,John B Connally High School,"13212 North Lamar Boulevard, Austin, TX  78753",4
85,30.051538,-97.689049,Akins High School,"10701 South 1st Street, Austin, TX  78748",4
86,30.254568,-97.478883,Manor Excel Academy,(512) 278-4851,3
87,30.477729,-97.826763,Cedar Park High School,"2150 Cypress Creek Road, Cedar Park, TX  78613",8
88,30.24881,-97.740486,Texas School For The Deaf,"1102 South Congress Avenue, Austin, TX  78704",1
